geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04, -Log.p.value,Student's T-test q-value daf2_d15_N2_d15,log2FC,Student's T-test Test statistic daf2_d15_N2_d15,Sign p-val: 0.05 
"CELE_Y62E10A,13",-0.559358,0.37966,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,12.2069,12.0594,9.76451,11.8261,11.3945,11.8454,12.0607,12.7939,0.37966,0.341388,-0.559358,-0.871082,
cars-1,-0.813284,1.92076,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,15.8211,16.1505,15.4504,15.4914,17.0012,16.427,16.4786,16.2597,1.92076,0.0120407,-0.813284,-3.55485,+
eps-8,-2.49747,3.80744,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,12.2998,11.8259,11.4712,11.7534,14.7489,13.651,14.3442,14.5962,3.80744,0.0012,-2.49747,-8.39284,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",-0.166981,0.469374,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,16.9059,16.8133,16.6107,17.1328,17.1779,16.7638,16.9089,17.28,0.469374,0.267996,-0.166981,-1.03788,
pezo-1,-0.568717,0.589175,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,14.9222,14.4529,15.2528,15.1532,15.1979,15.0917,15.0032,16.7631,0.589175,0.197349,-0.568717,-1.25093,
twk-9,1.47343,1.35777,A0A061AD18,TWiK family of potassium channels,17.1845,15.4121,16.1883,17.3328,15.0646,14.0276,15.4946,15.6371,1.35777,0.0365491,1.47343,2.54344,+
epi-1,-0.179965,0.608363,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.394,16.9375,17.068,17.1822,17.454,17.4416,17.0252,17.381,0.608363,0.188159,-0.179965,-1.28429,
kdin-1,-0.652831,0.66702,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,12.3697,13.9836,12.3076,13.9048,13.6171,14.009,13.8207,13.7303,0.66702,0.162049,-0.652831,-1.38528,
tag-273,0.940357,2.60026,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.7318,17.2426,16.9599,17.1441,16.2946,16.0933,16.3976,16.5315,2.60026,0.00353994,0.940357,4.97654,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",0.0605416,0.0675061,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,12.8317,12.2961,12.512,12.9942,11.832,12.6645,13.1658,12.7295,0.0675061,0.813549,0.0605416,0.189379,
pps-1,0.149383,0.134712,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,15.4369,14.6658,15.0787,16.4961,15.271,14.9418,15.2142,15.653,0.134712,0.667643,0.149383,0.357002,
cka-1,0.418617,0.501884,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,13.6777,14.3371,14.6652,14.6894,13.0951,14.5308,14.0703,13.9988,0.501884,0.245814,0.418617,1.09662,
